Al Zaiem Al Azhari University,Khartoum
AlMughtaribeen University,Khartoum
International University of Africa,Khartoum
National Ribat University,Khartoum
National University-Sudan,Khartoum
Neelain University,Khartoum
Nile Valley University,Khartoum
Omdurman Islamic University,Khartoum
Sudan Academy of Sciences,Khartoum
Sudan International University,Khartoum
Sudan University of Science and Technology,Khartoum
The Future University,Khartoum
University of Khartoum,Khartoum
University of Medical Sciences and Technology,Khartoum
Mashreq University,Khartoum North
Ahfad University for Women,Omdurman
Karary University,Omdurman
Omdurman Ahlia University,Omdurman
University of Science and Technology,Omdurman
University of the Holy Quran and Islamic Sciences,Omdurman